location,Paris,Paris,Paris,Paris
lat,48.86489,48.86489,48.86489,48.86489
lon,2.36968,2.36968,2.36968,2.36968
asl,55.289,55.289,55.289,55.289
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Paris Temperature [2 m elevation corrected],Paris Relative Humidity [2 m],Paris Wind Speed [10 m],Paris Wind Direction [10 m]
20210215T0800,1.7263765,76.0,19.296133,188.58362
20210215T0900,2.2263765,72.0,19.416653,190.6849
20210215T1000,3.5963764,65.0,21.175835,197.8189
20210215T1100,4.5563765,62.0,21.9718,198.13808
20210215T1200,5.886377,60.0,21.659916,201.44774
20210215T1300,8.7663765,69.0,21.986542,219.68546
20210215T1400,8.246376,76.0,17.727943,209.16762
20210215T1500,8.866376,77.0,18.875126,214.9025
20210215T1600,9.226377,79.0,17.884428,220.1009
20210215T1700,9.136376,84.0,13.479583,214.11447
20210215T1800,9.316376,84.0,16.981165,212.00539
20210215T1900,9.126376,83.0,18.289274,216.1932
20210215T2000,8.926376,85.0,14.186923,215.7067
20210215T2100,9.096376,84.0,14.982228,215.21759
20210215T2200,9.206376,85.0,14.88242,212.1523
20210215T2300,9.176376,86.0,13.708391,203.1986
20210216T0000,8.876376,86.0,13.441071,200.37643
20210216T0100,8.376376,88.0,14.118243,199.359
20210216T0200,6.7963767,91.0,12.959999,180.0
20210216T0300,5.4763765,94.0,13.679999,180.0
20210216T0400,4.5263767,94.0,15.188415,174.55966
20210216T0500,3.5463765,96.0,15.941944,173.51692
20210216T0600,3.9763765,92.0,16.954432,176.34778
20210216T0700,4.1863766,92.0,18.416384,184.4846
20210216T0800,4.3063765,91.0,17.935081,190.40771
20210216T0900,5.4963765,86.0,18.792551,196.69925
20210216T1000,7.0763764,80.0,19.33639,204.17911
20210216T1100,8.426376,77.0,19.64228,206.09543
20210216T1200,8.946376,76.0,19.813087,204.70242
20210216T1300,10.276376,73.0,19.592731,200.43283
20210216T1400,11.296376,71.0,18.514643,206.56505
20210216T1500,12.436377,70.0,19.652176,208.44293
20210216T1600,13.286376,70.0,20.799152,203.45903
20210216T1700,12.726377,74.0,22.86496,213.43987
20210216T1800,12.036376,81.0,25.537172,220.42609
20210216T1900,10.476377,82.0,22.81957,276.34018
20210216T2000,9.676376,83.0,17.654686,253.41266
20210216T2100,8.926376,86.0,21.288757,251.25867
20210216T2200,8.116376,89.0,18.35647,244.44003
20210216T2300,7.6063766,91.0,16.87398,236.30994
20210217T0000,7.2463765,92.0,16.199999,233.1301
20210217T0100,7.5363765,91.0,16.87398,236.30994
20210217T0200,7.7563767,91.0,16.418526,232.12502
20210217T0300,7.656377,92.0,16.80857,226.73572
20210217T0400,7.5263767,94.0,16.363178,219.64418
20210217T0500,7.3163767,95.0,16.78156,215.3948
20210217T0600,7.2263765,96.0,17.174677,213.02386
20210217T0700,7.116377,97.0,16.981165,212.00539
20210217T0800,7.1063766,97.0,17.10284,210.34326
20210217T0900,7.426377,96.0,18.043148,208.61046
20210217T1000,7.8563766,94.0,18.359999,208.0725
20210217T1100,8.556376,91.0,19.652176,208.44293
20210217T1200,9.466376,88.0,20.172853,214.8245
20210217T1300,10.486376,83.0,20.240198,218.50066
20210217T1400,12.366376,69.0,22.691423,221.78452
20210217T1500,13.136376,63.0,23.933908,223.78113
20210217T1600,12.926376,63.0,22.039528,218.3675
20210217T1700,12.406376,66.0,19.171478,214.28688
20210217T1800,11.636376,70.0,17.727943,209.16762
20210217T1900,10.696376,75.0,15.256526,199.29004
20210217T2000,10.366376,76.0,13.358861,194.03624
20210217T2100,10.006376,78.0,12.371645,188.36589
20210217T2200,8.496376,85.0,10.799999,180.0
20210217T2300,7.2663765,90.0,9.449572,162.25533
20210218T0000,6.2463765,93.0,9.693296,148.67131
20210218T0100,6.4163766,89.0,12.72283,154.88516
20210218T0200,6.9763765,83.0,16.78156,157.28558
20210218T0300,6.5263767,85.0,19.734436,165.20323
20210218T0400,6.4763765,85.0,18.430452,167.59258
20210218T0500,6.486377,86.0,18.998314,170.1807
20210218T0600,6.6063766,85.0,17.462784,171.70285
20210218T0700,6.6463766,84.0,17.298738,167.98853
20210218T0800,6.676377,83.0,18.448023,174.40067
20210218T0900,7.446377,80.0,20.519999,180.0
20210218T1000,9.536376,74.0,21.485697,188.67317
20210218T1100,11.996376,69.0,22.930048,202.1355
20210218T1200,12.446376,73.0,22.26477,194.03624
20210218T1300,13.746376,71.0,23.933908,195.70863
20210218T1400,12.656376,80.0,20.87379,212.31961
20210218T1500,12.926376,78.0,24.567198,214.85446
20210218T1600,12.596376,78.0,29.168886,215.45547
20210218T1700,11.506376,87.0,22.68,270.0
20210218T1800,10.376376,77.0,16.09969,280.30487
20210218T1900,9.436377,78.0,12.599999,270.0
20210218T2000,9.176376,78.0,14.044615,268.5312
20210218T2100,8.536376,76.0,11.090103,256.86597
20210218T2200,8.136376,78.0,9.021574,241.38954
20210218T2300,7.466377,81.0,7.42159,219.09386
20210219T0000,5.7963767,91.0,9.107359,198.43495
20210219T0100,5.0463767,94.0,10.636766,203.9625
20210219T0200,4.8563766,92.0,8.825508,191.7683
20210219T0300,4.216377,94.0,10.948973,189.46233
20210219T0400,3.5863764,95.0,11.609651,187.12502
20210219T0500,3.8263764,96.0,11.928989,185.19443
20210219T0600,4.736377,93.0,13.363711,184.63547
20210219T0700,4.136377,96.0,12.324414,186.70984
20210219T0800,4.2663765,97.0,12.620554,183.2705
20210219T0900,5.446377,95.0,13.363711,175.36453
20210219T1000,6.466377,95.0,14.830076,174.4278
20210219T1100,7.9563766,90.0,15.815435,168.17851
20210219T1200,10.2663765,80.0,15.986595,172.23483
20210219T1300,12.676376,73.0,17.339897,175.23636
20210219T1400,13.146377,71.0,15.856356,182.60257
20210219T1500,14.336376,68.0,17.057314,187.27501
20210219T1600,14.896377,66.0,18.556595,198.08345
20210219T1700,14.676376,69.0,18.709612,191.09372
20210219T1800,14.226377,71.0,14.77755,182.79271
20210219T1900,13.876376,73.0,12.979984,176.82018
20210219T2000,13.576376,74.0,13.363711,184.63547
20210219T2100,13.306376,75.0,11.966953,186.91122
20210219T2200,12.606377,79.0,12.964998,181.59114
20210219T2300,12.036376,81.0,12.599999,180.0
20210220T0000,11.876376,80.0,16.263872,185.0796
20210220T0100,10.686377,85.0,16.199999,180.0
20210220T0200,9.936377,88.0,13.797912,172.50414
20210220T0300,9.646377,88.0,16.575644,177.51045
20210220T0400,9.106377,89.0,18.057508,175.42609
20210220T0500,8.706376,90.0,19.523155,174.70992
20210220T0600,8.0163765,90.0,20.418695,170.86983
20210220T0700,7.346377,90.0,19.959719,172.74681
20210220T0800,6.8163767,90.0,19.602652,172.61395
20210220T0900,7.5263767,85.0,20.633371,173.991
20210220T1000,9.196376,77.0,20.907913,177.03906
20210220T1100,11.306376,69.0,21.602999,179.04517
20210220T1200,13.5163765,61.0,22.3229,180.92404
20210220T1300,15.506376,55.0,23.4,180.0
20210220T1400,17.116377,50.0,25.582806,182.41951
20210220T1500,17.986376,48.0,25.959969,183.17982
20210220T1600,18.366377,49.0,25.6233,184.02826
20210220T1700,18.276377,51.0,23.828083,184.33232
20210220T1800,17.386375,55.0,20.880001,180.0
20210220T1900,15.856377,62.0,18.416384,175.5154
20210220T2000,14.626376,68.0,19.45333,177.8789
20210220T2100,13.586376,71.0,20.523155,181.00508
20210220T2200,12.446376,75.0,19.110542,176.7603
20210220T2300,11.5163765,77.0,19.559633,173.6598
20210221T0000,10.666376,77.0,19.852295,175.84036
20210221T0100,9.756376,79.0,18.014393,177.7094
20210221T0200,9.376376,79.0,13.039754,173.6598
20210221T0300,8.696376,82.0,13.493999,170.78897
20210221T0400,8.106377,83.0,14.512064,172.87498
20210221T0500,7.6863766,82.0,14.685176,168.69006
20210221T0600,7.1063766,81.0,14.685176,168.69006
20210221T0700,6.6063766,80.0,14.05845,166.67548
20210221T0800,6.236377,79.0,15.034041,163.30075
20210221T0900,7.216377,75.0,16.766108,165.06857
20210221T1000,8.836376,70.0,18.430452,167.59258
20210221T1100,10.7663765,64.0,17.727943,167.09259
20210221T1200,12.716376,59.0,18.947083,165.69972
20210221T1300,14.486376,53.0,19.602652,172.61395
20210221T1400,15.736376,51.0,18.486622,173.29016
20210221T1500,16.526377,49.0,18.448023,174.40067
20210221T1600,16.946377,49.0,17.731598,174.17366
20210221T1700,16.766376,51.0,16.75064,171.34746
20210221T1800,16.076376,55.0,13.450708,164.47589
20210221T1900,15.326376,57.0,12.641076,160.01689
20210221T2000,14.366376,59.0,14.007655,154.09349
20210221T2100,13.536376,60.0,16.311613,157.96378
20210221T2200,12.826376,61.0,17.462782,165.67728
20210221T2300,12.256376,61.0,17.518356,170.53767
