,station_id,lat,lon,name,capacity,2 cluster,2 cluster
198,54000625,48.859358523592554,2.389613136684456,Repos - Cimetière du Père Lachaise,33,1,1
199,213911772,48.857421708072074,2.437578141689301,François Debergue - Croix de Chavaux,57,0,2
200,129132870,48.82753962462998,2.2416052222251897,Nationale - Place Jules Guesde,23,0,1
201,620403530,48.790114,2.4025777,Gabriel Péri - Danielle Casanova,20,1,0
202,66491378,48.84442462786544,2.294059172272682,Lakanal - Commerce,53,1,0
203,631773910,48.79592939432515,2.4261841177940373,Carnot - Pâquerettes,26,1,0
204,54000628,48.91038818051166,2.3117771744728093,Claude Debussy - Marc Bloch,28,0,1
205,611152693,48.787553654715644,2.306235730648041,Tertres - Fontaine,28,1,0
206,235241110,48.8436279,2.4630465,Gare Rer de Fontenay sous Bois,61,1,0
207,613737748,48.8094458,2.3903009,Raspail - Manufacture des Oeillets,32,1,1
208,41498023,48.8654533,2.3760261,Oberkampf - République,24,1,0
209,632086890,48.791922819921815,2.395057752728462,Place de l'Eglise,28,1,0
210,213945171,48.87451538963655,2.415283620357514,Noisy le Sec - Jean-Baptiste Clément,22,1,0
211,129093478,48.88561741628322,2.290781411279206,Place de la Porte de Champerret,28,1,0
212,463297497,48.8835462,2.4137883,Marcelle - Thalie,20,1,0
213,213875650,48.892663,2.172411,Henri Ste-Claire Déville - Paul Héroult,24,0,2
214,245187072,48.86431136000005,2.4105210229754443,Louis Lumière - Porte de Bagnolet,20,0,1
215,129144878,48.854898095789295,2.4186685681343083,Paris - Emile Zola,30,0,1
216,27415665,48.821475594736775,2.3026576638221745,Jean Jaurès - Salvador Allende,43,1,0
217,593238093,48.875065791004396,2.3316738009452824,Victoire - Chaussée d'Antin,24,0,2
218,102331767,48.83802015441127,2.2460845112800603,Victor Hugo - Galliéni,34,1,0
219,1062671597,48.86132665908402,2.349419631063938,Cossonnerie - Sébastopol,24,0,1
220,37791,48.86580427668637,2.369337074966926,Richard Lenoir - Jean-Pierre Timbaud,36,1,0
221,50156117,48.885325169402904,2.316423766314984,Legendre - Dulong,23,1,0
222,35908,48.84819134858432,2.34183165485398,Cujas - Saint-Michel,19,0,2
223,15462236,48.86741186571367,2.290781380114821,Galilée - Kléber,33,0,2
